Trading Pair,Price,Market Cap,24h Volume,Cap Size,Total Profit (%),Absolute Profit ($),Market Change (%),Total Trades,Wins,Losses,Draws,Win Rate (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Profit Factor,Expectancy ($),CAGR (%),Avg Hold Time,Final Balance
FET/USDT,0.659942,$1.72B,$59.61M,Mid-Cap,0.0,0.0,-44.34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
LTC/USDT,115.33,$8.80B,$699.46M,Mid-Cap,0.0,0.0,-16.34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
TAO/USDT,351.86,$3.37B,$60.15M,Mid-Cap,0.0,0.0,-22.19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
MANA/USDT,0.349048,$670.04M,$75.57M,Small-Cap,0.0,0.0,-43.97,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
RLC/USDT,1.26,$91.22M,$18.90M,Micro-Cap,0.0,0.0,-56.43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
STX/USDT,0.668775,$1.20B,$28.67M,Mid-Cap,0.0,0.0,-55.22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
BTC/USDT,115795.0,$2.31T,$25.17B,Large-Cap,0.0,0.0,15.29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
SHIB/USDT,1.372e-05,$8.08B,$295.17M,Mid-Cap,0.0,0.0,-44.48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
RONIN/USDT,no data,no data,no data,no data,0.0,0.0,-76.98,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
GRT/USDT,0.096603,$1.01B,$30.42M,Mid-Cap,0.0,0.0,-56.36,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
